date,timestamp,source_name,headline,snippet,url,issue_area,geography_refs,geography_matches,source_type,domain,language,is_synthetic_operational_demo
2026-05-23,2026-05-23T17:30:00,Empire State Ledger,Rome residents link shelter planning to neighborhood quality of life as pressure grows,"Empire State Ledger notes that immigration / public safety narratives in Central NY are being repeated across local news coverage, with Rome residents emphasizing pressure.",https://example.com/operational-demo/00914,immigration / public safety,Rome; Central NY,Rome; Central NY,local news,empirestateledger.example,English,True
2026-05-23,2026-05-23T17:30:00,NY Civic Monitor,Utica families describe grocery and utility pressure as training grows,"NY Civic Monitor notes that affordability / cost of living narratives in Central NY are being repeated across TV transcript coverage, with Utica residents emphasizing training.",https://example.com/operational-demo/02133,affordability / cost of living,Utica; Central NY,Utica; Central NY,TV transcript,nycivicmonitor.example,English,True
2026-05-23,2026-05-23T17:30:00,Metro Narrative Scan,Staten Island reform groups frame trust as a campaign issue as urgent grows,"Metro Narrative Scan notes that corruption / competence / trust narratives in NYC are being repeated across TV transcript coverage, with Staten Island residents emphasizing urgent.",https://example.com/operational-demo/02435,corruption / competence / trust,Staten Island; NYC,Staten Island; NYC,TV transcript,metronarrativescan.example,English,True
2026-05-23,2026-05-23T17:15:00,Buffalo Civic Wire,Brooklyn subway and downtown safety concerns continue to circulate as attention grows,"Buffalo Civic Wire notes that immigration / public safety narratives in NYC are being repeated across community forum coverage, with Brooklyn residents emphasizing attention.",https://example.com/operational-demo/01335,immigration / public safety,Brooklyn; NYC,Brooklyn; NYC,community forum,buffalocivicwire.example,English,True
2026-05-23,2026-05-23T16:54:00,Statehouse Watch,Buffalo families describe grocery and utility pressure as urgent grows,"Statehouse Watch notes that affordability / cost of living narratives in Western NY are being repeated across policy newsletter coverage, with Buffalo residents emphasizing urgent.",https://example.com/operational-demo/00109,affordability / cost of living,Buffalo; Western NY,Buffalo; Western NY,policy newsletter,statehousewatch.example,English,True
2026-05-23,2026-05-23T16:37:00,Queens Community Post,Huntington watchdogs press for accountability and procurement transparency as strain grows,"Queens Community Post notes that corruption / competence / trust narratives in Long Island are being repeated across local news coverage, with Huntington residents emphasizing strain.",https://example.com/operational-demo/02067,corruption / competence / trust,Huntington; Long Island,Huntington; Long Island,local news,queenscommunitypost.example,English,True
2026-05-23,2026-05-23T16:15:00,Syracuse Policy Review,Buffalo residents link shelter planning to neighborhood quality of life as solution grows,"Syracuse Policy Review notes that immigration / public safety narratives in Western NY are being repeated across social listening digest coverage, with Buffalo residents emphasizing solution.",https://example.com/operational-demo/01507,immigration / public safety,Buffalo; Western NY,Buffalo; Western NY,social listening digest,syracusepolicyreview.example,English,True
2026-05-23,2026-05-23T16:11:00,Syracuse Policy Review,Bronx officials debate public safety coordination and fairness as attention grows,"Syracuse Policy Review notes that immigration / public safety narratives in NYC are being repeated across social listening digest coverage, with Bronx residents emphasizing attention.",https://example.com/operational-demo/00635,immigration / public safety,Bronx; NYC,Bronx; NYC,social listening digest,syracusepolicyreview.example,English,True
2026-05-23,2026-05-23T16:04:00,Empire State Ledger,Brooklyn families describe grocery and utility pressure as concern grows,"Empire State Ledger notes that affordability / cost of living narratives in NYC are being repeated across policy newsletter coverage, with Brooklyn residents emphasizing concern.",https://example.com/operational-demo/01446,affordability / cost of living,Brooklyn; NYC,Brooklyn; NYC,policy newsletter,empirestateledger.example,English,True
2026-05-23,2026-05-23T15:20:00,Metro Narrative Scan,Brooklyn workers ask whether AI investment will produce durable jobs as concern grows,"Metro Narrative Scan notes that AI / tech jobs narratives in NYC are being repeated across policy newsletter coverage, with Brooklyn residents emphasizing concern.",https://example.com/operational-demo/01132,AI / tech jobs,Brooklyn; NYC,Brooklyn; NYC,policy newsletter,metronarrativescan.example,English,True
2026-05-23,2026-05-23T15:16:00,Hudson Valley Public Radio,Queens local officials debate affordability relief proposals as frustration grows,"Hudson Valley Public Radio notes that affordability / cost of living narratives in NYC are being repeated across local news coverage, with Queens residents emphasizing frustration.",https://example.com/operational-demo/02365,affordability / cost of living,Queens; NYC,Queens; NYC,local news,hudsonvalleypublicradio.example,English,True
2026-05-23,2026-05-23T15:10:00,Hudson Valley Public Radio,Queens labor groups call for guardrails around artificial intelligence as concern grows,"Hudson Valley Public Radio notes that AI / tech jobs narratives in NYC are being repeated across social listening digest coverage, with Queens residents emphasizing concern.",https://example.com/operational-demo/02372,AI / tech jobs,Queens; NYC,Queens; NYC,social listening digest,hudsonvalleypublicradio.example,English,True
2026-05-23,2026-05-23T15:05:00,Long Island Observer,Bronx labor groups call for guardrails around artificial intelligence as frustration grows,"Long Island Observer notes that AI / tech jobs narratives in NYC are being repeated across local news coverage, with Bronx residents emphasizing frustration.",https://example.com/operational-demo/02470,AI / tech jobs,Bronx; NYC,Bronx; NYC,local news,longislandobserver.example,English,True
2026-05-23,2026-05-23T14:57:00,Statehouse Watch,Rockland community groups ask for clearer asylum support plans as discussion grows,"Statehouse Watch notes that immigration / public safety narratives in Hudson Valley are being repeated across local news coverage, with Rockland residents emphasizing discussion.",https://example.com/operational-demo/01459,immigration / public safety,Rockland; Hudson Valley,Rockland; Hudson Valley,local news,statehousewatch.example,English,True
2026-05-23,2026-05-23T14:44:00,Queens Community Post,Rockland local officials debate affordability relief proposals as debate grows,"Queens Community Post notes that affordability / cost of living narratives in Hudson Valley are being repeated across local news coverage, with Rockland residents emphasizing debate.",https://example.com/operational-demo/02466,affordability / cost of living,Rockland; Hudson Valley,Rockland; Hudson Valley,local news,queenscommunitypost.example,English,True
2026-05-23,2026-05-23T13:11:00,NY Civic Monitor,Rome workers ask whether AI investment will produce durable jobs as progress grows,"NY Civic Monitor notes that AI / tech jobs narratives in Central NY are being repeated across community forum coverage, with Rome residents emphasizing progress.",https://example.com/operational-demo/00368,AI / tech jobs,Rome; Central NY,Rome; Central NY,community forum,nycivicmonitor.example,English,True
2026-05-23,2026-05-23T13:10:00,Statehouse Watch,Nassau local officials debate affordability relief proposals as training grows,"Statehouse Watch notes that affordability / cost of living narratives in Long Island are being repeated across social listening digest coverage, with Nassau residents emphasizing training.",https://example.com/operational-demo/00110,affordability / cost of living,Nassau; Long Island,Nassau; Long Island,social listening digest,statehousewatch.example,English,True
2026-05-23,2026-05-23T12:43:00,Queens Community Post,Schenectady commuters connect fare pressure to household budgets as questions grows,"Queens Community Post notes that affordability / cost of living narratives in Capital Region are being repeated across policy newsletter coverage, with Schenectady residents emphasizing questions.",https://example.com/operational-demo/00494,affordability / cost of living,Schenectady; Capital Region,Schenectady; Capital Region,policy newsletter,queenscommunitypost.example,English,True
2026-05-23,2026-05-23T12:33:00,Statehouse Watch,Nassau families describe grocery and utility pressure as debate grows,"Statehouse Watch notes that affordability / cost of living narratives in Long Island are being repeated across community forum coverage, with Nassau residents emphasizing debate.",https://example.com/operational-demo/01893,affordability / cost of living,Nassau; Long Island,Nassau; Long Island,community forum,statehousewatch.example,English,True
2026-05-23,2026-05-23T12:26:00,Hudson Valley Public Radio,Buffalo residents ask for concrete cost-of-living plans as debate grows,"Hudson Valley Public Radio notes that affordability / cost of living narratives in Western NY are being repeated across policy newsletter coverage, with Buffalo residents emphasizing debate.",https://example.com/operational-demo/02489,affordability / cost of living,Buffalo; Western NY,Buffalo; Western NY,policy newsletter,hudsonvalleypublicradio.example,English,True
2026-05-23,2026-05-23T12:18:00,Hudson Valley Public Radio,Queens residents link shelter planning to neighborhood quality of life as pressure grows,"Hudson Valley Public Radio notes that immigration / public safety narratives in NYC are being repeated across local news coverage, with Queens residents emphasizing pressure.",https://example.com/operational-demo/01954,immigration / public safety,Queens; NYC,Queens; NYC,local news,hudsonvalleypublicradio.example,English,True
2026-05-23,2026-05-23T12:12:00,Hudson Valley Public Radio,Yonkers regional employers highlight training needs around automation as urgent grows,"Hudson Valley Public Radio notes that AI / tech jobs narratives in Hudson Valley are being repeated across policy newsletter coverage, with Yonkers residents emphasizing urgent.",https://example.com/operational-demo/01448,AI / tech jobs,Yonkers; Hudson Valley,Yonkers; Hudson Valley,policy newsletter,hudsonvalleypublicradio.example,English,True
2026-05-23,2026-05-23T11:16:00,Queens Community Post,Queens residents link shelter planning to neighborhood quality of life as discussion grows,"Queens Community Post notes that immigration / public safety narratives in NYC are being repeated across TV transcript coverage, with Queens residents emphasizing discussion.",https://example.com/operational-demo/02239,immigration / public safety,Queens; NYC,Queens; NYC,TV transcript,queenscommunitypost.example,English,True
2026-05-23,2026-05-23T11:07:00,NY Civic Monitor,Suffolk officials debate public safety coordination and fairness as debate grows,"NY Civic Monitor notes that immigration / public safety narratives in Long Island are being repeated across local news coverage, with Suffolk residents emphasizing debate.",https://example.com/operational-demo/00593,immigration / public safety,Suffolk; Long Island,Suffolk; Long Island,local news,nycivicmonitor.example,English,True
2026-05-23,2026-05-23T10:51:00,NY Civic Monitor,Queens labor groups call for guardrails around artificial intelligence as urgent grows,"NY Civic Monitor notes that AI / tech jobs narratives in NYC are being repeated across local news coverage, with Queens residents emphasizing urgent.",https://example.com/operational-demo/01069,AI / tech jobs,Queens; NYC,Queens; NYC,local news,nycivicmonitor.example,English,True
2026-05-23,2026-05-23T10:36:00,NY Civic Monitor,Staten Island officials debate public safety coordination and fairness as frustration grows,"NY Civic Monitor notes that immigration / public safety narratives in NYC are being repeated across TV transcript coverage, with Staten Island residents emphasizing frustration.",https://example.com/operational-demo/01458,immigration / public safety,Staten Island; NYC,Staten Island; NYC,TV transcript,nycivicmonitor.example,English,True
2026-05-23,2026-05-23T10:10:00,Rochester Herald,Monroe County commuters connect fare pressure to household budgets as urgent grows,"Rochester Herald notes that affordability / cost of living narratives in Western NY are being repeated across policy newsletter coverage, with Monroe County residents emphasizing urgent.",https://example.com/operational-demo/01383,affordability / cost of living,Monroe County; Western NY,Monroe County; Western NY,policy newsletter,rochesterherald.example,English,True
2026-05-23,2026-05-23T09:54:00,NY Civic Monitor,Orange County labor groups call for guardrails around artificial intelligence as urgent grows,"NY Civic Monitor notes that AI / tech jobs narratives in Hudson Valley are being repeated across TV transcript coverage, with Orange County residents emphasizing urgent.",https://example.com/operational-demo/00478,AI / tech jobs,Orange County; Hudson Valley,Orange County; Hudson Valley,TV transcript,nycivicmonitor.example,English,True
2026-05-23,2026-05-23T09:54:00,Metro Narrative Scan,Nassau subway and downtown safety concerns continue to circulate as urgent grows,"Metro Narrative Scan notes that immigration / public safety narratives in Long Island are being repeated across local news coverage, with Nassau residents emphasizing urgent.",https://example.com/operational-demo/01481,immigration / public safety,Nassau; Long Island,Nassau; Long Island,local news,metronarrativescan.example,English,True
2026-05-23,2026-05-23T09:37:00,Rochester Herald,Erie County housing advocates warn that eviction pressure is rising as discussion grows,"Rochester Herald notes that housing / rent narratives in Western NY are being repeated across policy newsletter coverage, with Erie County residents emphasizing discussion.",https://example.com/operational-demo/00152,housing / rent,Erie County; Western NY,Erie County; Western NY,policy newsletter,rochesterherald.example,English,True
2026-05-23,2026-05-23T09:19:00,Metro Narrative Scan,Huntington tenants connect rent increases to neighborhood displacement as debate grows,"Metro Narrative Scan notes that housing / rent narratives in Long Island are being repeated across policy newsletter coverage, with Huntington residents emphasizing debate.",https://example.com/operational-demo/01494,housing / rent,Huntington; Long Island,Huntington; Long Island,policy newsletter,metronarrativescan.example,English,True
2026-05-23,2026-05-23T09:12:00,Queens Community Post,Hempstead labor groups call for guardrails around artificial intelligence as discussion grows,"Queens Community Post notes that AI / tech jobs narratives in Long Island are being repeated across TV transcript coverage, with Hempstead residents emphasizing discussion.",https://example.com/operational-demo/01534,AI / tech jobs,Hempstead; Long Island,Hempstead; Long Island,TV transcript,queenscommunitypost.example,English,True
2026-05-23,2026-05-23T09:04:00,Rochester Herald,Queens community groups ask for clearer asylum support plans as concern grows,"Rochester Herald notes that immigration / public safety narratives in NYC are being repeated across local news coverage, with Queens residents emphasizing concern.",https://example.com/operational-demo/00438,immigration / public safety,Queens; NYC,Queens; NYC,local news,rochesterherald.example,English,True
2026-05-23,2026-05-23T08:58:00,Long Island Observer,Brooklyn reform groups frame trust as a campaign issue as strain grows,"Long Island Observer notes that corruption / competence / trust narratives in NYC are being repeated across TV transcript coverage, with Brooklyn residents emphasizing strain.",https://example.com/operational-demo/02295,corruption / competence / trust,Brooklyn; NYC,Brooklyn; NYC,TV transcript,longislandobserver.example,English,True
2026-05-23,2026-05-23T07:58:00,Statehouse Watch,Nassau reform groups frame trust as a campaign issue as response grows,"Statehouse Watch notes that corruption / competence / trust narratives in Long Island are being repeated across TV transcript coverage, with Nassau residents emphasizing response.",https://example.com/operational-demo/00187,corruption / competence / trust,Nassau; Long Island,Nassau; Long Island,TV transcript,statehousewatch.example,English,True
2026-05-23,2026-05-23T07:50:00,Empire State Ledger,Monroe County families describe grocery and utility pressure as strain grows,"Empire State Ledger notes that affordability / cost of living narratives in Western NY are being repeated across public radio coverage, with Monroe County residents emphasizing strain.",https://example.com/operational-demo/01767,affordability / cost of living,Monroe County; Western NY,Monroe County; Western NY,public radio,empirestateledger.example,English,True
2026-05-23,2026-05-23T07:22:00,Statehouse Watch,Brooklyn commuters connect fare pressure to household budgets as frustration grows,"Statehouse Watch notes that affordability / cost of living narratives in NYC are being repeated across social listening digest coverage, with Brooklyn residents emphasizing frustration.",https://example.com/operational-demo/01717,affordability / cost of living,Brooklyn; NYC,Brooklyn; NYC,social listening digest,statehousewatch.example,English,True
2026-05-23,2026-05-23T07:00:00,Empire State Ledger,Manhattan tech expansion stories raise questions about workforce stability as concern grows,"Empire State Ledger notes that AI / tech jobs narratives in NYC are being repeated across local news coverage, with Manhattan residents emphasizing concern.",https://example.com/operational-demo/02375,AI / tech jobs,Manhattan; NYC,Manhattan; NYC,local news,empirestateledger.example,English,True
2026-05-23,2026-05-23T06:35:00,Statehouse Watch,Westchester commuters connect fare pressure to household budgets as discussion grows,"Statehouse Watch notes that affordability / cost of living narratives in Hudson Valley are being repeated across local news coverage, with Westchester residents emphasizing discussion.",https://example.com/operational-demo/02157,affordability / cost of living,Westchester; Hudson Valley,Westchester; Hudson Valley,local news,statehousewatch.example,English,True
2026-05-23,2026-05-23T06:30:00,Rochester Herald,Troy workers ask whether AI investment will produce durable jobs as strain grows,"Rochester Herald notes that AI / tech jobs narratives in Capital Region are being repeated across community forum coverage, with Troy residents emphasizing strain.",https://example.com/operational-demo/01746,AI / tech jobs,Troy; Capital Region,Troy; Capital Region,community forum,rochesterherald.example,English,True
2026-05-23,2026-05-23T06:17:00,Buffalo Civic Wire,Rochester officials debate public safety coordination and fairness as discussion grows,"Buffalo Civic Wire notes that immigration / public safety narratives in Western NY are being repeated across TV transcript coverage, with Rochester residents emphasizing discussion.",https://example.com/operational-demo/02315,immigration / public safety,Rochester; Western NY,Rochester; Western NY,TV transcript,buffalocivicwire.example,English,True
2026-05-23,2026-05-23T06:12:00,Metro Narrative Scan,Schenectady residents ask for concrete cost-of-living plans as frustration grows,"Metro Narrative Scan notes that affordability / cost of living narratives in Capital Region are being repeated across social listening digest coverage, with Schenectady residents emphasizing frustration.",https://example.com/operational-demo/00948,affordability / cost of living,Schenectady; Capital Region,Schenectady; Capital Region,social listening digest,metronarrativescan.example,English,True
2026-05-23,2026-05-23T05:59:00,Empire State Ledger,Queens local coverage questions whether government can deliver reliably as frustration grows,"Empire State Ledger notes that corruption / competence / trust narratives in NYC are being repeated across TV transcript coverage, with Queens residents emphasizing frustration.",https://example.com/operational-demo/01641,corruption / competence / trust,Queens; NYC,Queens; NYC,TV transcript,empirestateledger.example,English,True
2026-05-23,2026-05-23T05:27:00,NY Civic Monitor,Rochester residents ask for concrete cost-of-living plans as questions grows,"NY Civic Monitor notes that affordability / cost of living narratives in Western NY are being repeated across local news coverage, with Rochester residents emphasizing questions.",https://example.com/operational-demo/01037,affordability / cost of living,Rochester; Western NY,Rochester; Western NY,local news,nycivicmonitor.example,English,True
2026-05-23,2026-05-23T05:22:00,Empire State Ledger,Queens subway and downtown safety concerns continue to circulate as discussion grows,"Empire State Ledger notes that immigration / public safety narratives in NYC are being repeated across policy newsletter coverage, with Queens residents emphasizing discussion.",https://example.com/operational-demo/01248,immigration / public safety,Queens; NYC,Queens; NYC,policy newsletter,empirestateledger.example,English,True
2026-05-23,2026-05-23T05:22:00,Empire State Ledger,Westchester families describe grocery and utility pressure as discussion grows,"Empire State Ledger notes that affordability / cost of living narratives in Hudson Valley are being repeated across policy newsletter coverage, with Westchester residents emphasizing discussion.",https://example.com/operational-demo/01789,affordability / cost of living,Westchester; Hudson Valley,Westchester; Hudson Valley,policy newsletter,empirestateledger.example,English,True
2026-05-23,2026-05-23T04:53:00,Buffalo Civic Wire,Troy regional employers highlight training needs around automation as accountability grows,"Buffalo Civic Wire notes that AI / tech jobs narratives in Capital Region are being repeated across TV transcript coverage, with Troy residents emphasizing accountability.",https://example.com/operational-demo/01115,AI / tech jobs,Troy; Capital Region,Troy; Capital Region,TV transcript,buffalocivicwire.example,English,True
2026-05-23,2026-05-23T04:44:00,Hudson Valley Public Radio,Staten Island community groups ask for clearer asylum support plans as frustration grows,"Hudson Valley Public Radio notes that immigration / public safety narratives in NYC are being repeated across local news coverage, with Staten Island residents emphasizing frustration.",https://example.com/operational-demo/00459,immigration / public safety,Staten Island; NYC,Staten Island; NYC,local news,hudsonvalleypublicradio.example,English,True
2026-05-23,2026-05-23T04:39:00,Metro Narrative Scan,Erie County residents ask for concrete cost-of-living plans as frustration grows,"Metro Narrative Scan notes that affordability / cost of living narratives in Western NY are being repeated across local news coverage, with Erie County residents emphasizing frustration.",https://example.com/operational-demo/01082,affordability / cost of living,Erie County; Western NY,Erie County; Western NY,local news,metronarrativescan.example,English,True
2026-05-23,2026-05-23T04:33:00,Metro Narrative Scan,Queens labor groups call for guardrails around artificial intelligence as pressure grows,"Metro Narrative Scan notes that AI / tech jobs narratives in NYC are being repeated across local news coverage, with Queens residents emphasizing pressure.",https://example.com/operational-demo/00895,AI / tech jobs,Queens; NYC,Queens; NYC,local news,metronarrativescan.example,English,True
2026-05-23,2026-05-23T04:33:00,Long Island Observer,Queens labor groups call for guardrails around artificial intelligence as accountability grows,"Long Island Observer notes that AI / tech jobs narratives in NYC are being repeated across policy newsletter coverage, with Queens residents emphasizing accountability.",https://example.com/operational-demo/02036,AI / tech jobs,Queens; NYC,Queens; NYC,policy newsletter,longislandobserver.example,English,True
2026-05-23,2026-05-23T04:30:00,Buffalo Civic Wire,Albany reform groups frame trust as a campaign issue as concern grows,"Buffalo Civic Wire notes that corruption / competence / trust narratives in Capital Region are being repeated across public radio coverage, with Albany residents emphasizing concern.",https://example.com/operational-demo/00362,corruption / competence / trust,Albany; Capital Region,Albany; Capital Region,public radio,buffalocivicwire.example,English,True
2026-05-23,2026-05-23T04:30:00,Rochester Herald,Rome residents link shelter planning to neighborhood quality of life as urgent grows,"Rochester Herald notes that immigration / public safety narratives in Central NY are being repeated across social listening digest coverage, with Rome residents emphasizing urgent.",https://example.com/operational-demo/00619,immigration / public safety,Rome; Central NY,Rome; Central NY,social listening digest,rochesterherald.example,English,True
2026-05-23,2026-05-23T04:24:00,Statehouse Watch,Brooklyn regional employers highlight training needs around automation as response grows,"Statehouse Watch notes that AI / tech jobs narratives in NYC are being repeated across social listening digest coverage, with Brooklyn residents emphasizing response.",https://example.com/operational-demo/00365,AI / tech jobs,Brooklyn; NYC,Brooklyn; NYC,social listening digest,statehousewatch.example,English,True
2026-05-23,2026-05-23T04:06:00,Metro Narrative Scan,Suffolk workers ask whether AI investment will produce durable jobs as questions grows,"Metro Narrative Scan notes that AI / tech jobs narratives in Long Island are being repeated across community forum coverage, with Suffolk residents emphasizing questions.",https://example.com/operational-demo/02115,AI / tech jobs,Suffolk; Long Island,Suffolk; Long Island,community forum,metronarrativescan.example,English,True
2026-05-23,2026-05-23T03:57:00,Rochester Herald,Rome residents ask for concrete cost-of-living plans as concern grows,"Rochester Herald notes that affordability / cost of living narratives in Central NY are being repeated across social listening digest coverage, with Rome residents emphasizing concern.",https://example.com/operational-demo/00335,affordability / cost of living,Rome; Central NY,Rome; Central NY,social listening digest,rochesterherald.example,English,True
2026-05-23,2026-05-23T03:49:00,Statehouse Watch,Orange County renters describe instability and repair delays as response grows,"Statehouse Watch notes that housing / rent narratives in Hudson Valley are being repeated across public radio coverage, with Orange County residents emphasizing response.",https://example.com/operational-demo/01827,housing / rent,Orange County; Hudson Valley,Orange County; Hudson Valley,public radio,statehousewatch.example,English,True
2026-05-23,2026-05-23T03:21:00,Hudson Valley Public Radio,Rockland residents link shelter planning to neighborhood quality of life as response grows,"Hudson Valley Public Radio notes that immigration / public safety narratives in Hudson Valley are being repeated across local news coverage, with Rockland residents emphasizing response.",https://example.com/operational-demo/00551,immigration / public safety,Rockland; Hudson Valley,Rockland; Hudson Valley,local news,hudsonvalleypublicradio.example,English,True
2026-05-23,2026-05-23T03:10:00,NY Civic Monitor,Manhattan community groups ask for clearer asylum support plans as pressure grows,"NY Civic Monitor notes that immigration / public safety narratives in NYC are being repeated across local news coverage, with Manhattan residents emphasizing pressure.",https://example.com/operational-demo/00718,immigration / public safety,Manhattan; NYC,Manhattan; NYC,local news,nycivicmonitor.example,English,True
2026-05-23,2026-05-23T02:47:00,Queens Community Post,Nassau local officials debate affordability relief proposals as strain grows,"Queens Community Post notes that affordability / cost of living narratives in Long Island are being repeated across policy newsletter coverage, with Nassau residents emphasizing strain.",https://example.com/operational-demo/02130,affordability / cost of living,Nassau; Long Island,Nassau; Long Island,policy newsletter,queenscommunitypost.example,English,True
2026-05-23,2026-05-23T02:38:00,Queens Community Post,Huntington labor groups call for guardrails around artificial intelligence as frustration grows,"Queens Community Post notes that AI / tech jobs narratives in Long Island are being repeated across policy newsletter coverage, with Huntington residents emphasizing frustration.",https://example.com/operational-demo/01436,AI / tech jobs,Huntington; Long Island,Huntington; Long Island,policy newsletter,queenscommunitypost.example,English,True
2026-05-23,2026-05-23T02:30:00,Long Island Observer,Manhattan regional employers highlight training needs around automation as solution grows,"Long Island Observer notes that AI / tech jobs narratives in NYC are being repeated across social listening digest coverage, with Manhattan residents emphasizing solution.",https://example.com/operational-demo/00193,AI / tech jobs,Manhattan; NYC,Manhattan; NYC,social listening digest,longislandobserver.example,English,True
2026-05-23,2026-05-23T02:06:00,Hudson Valley Public Radio,Nassau renters describe instability and repair delays as concern grows,"Hudson Valley Public Radio notes that housing / rent narratives in Long Island are being repeated across public radio coverage, with Nassau residents emphasizing concern.",https://example.com/operational-demo/00949,housing / rent,Nassau; Long Island,Nassau; Long Island,public radio,hudsonvalleypublicradio.example,English,True
2026-05-23,2026-05-23T01:57:00,Syracuse Policy Review,Brooklyn commuters connect fare pressure to household budgets as frustration grows,"Syracuse Policy Review notes that affordability / cost of living narratives in NYC are being repeated across community forum coverage, with Brooklyn residents emphasizing frustration.",https://example.com/operational-demo/00743,affordability / cost of living,Brooklyn; NYC,Brooklyn; NYC,community forum,syracusepolicyreview.example,English,True
2026-05-23,2026-05-23T01:47:00,NY Civic Monitor,Hempstead tech expansion stories raise questions about workforce stability as pressure grows,"NY Civic Monitor notes that AI / tech jobs narratives in Long Island are being repeated across TV transcript coverage, with Hempstead residents emphasizing pressure.",https://example.com/operational-demo/01975,AI / tech jobs,Hempstead; Long Island,Hempstead; Long Island,TV transcript,nycivicmonitor.example,English,True
2026-05-23,2026-05-23T01:35:00,Metro Narrative Scan,Monroe County local coverage questions whether government can deliver reliably as questions grows,"Metro Narrative Scan notes that corruption / competence / trust narratives in Western NY are being repeated across TV transcript coverage, with Monroe County residents emphasizing questions.",https://example.com/operational-demo/02268,corruption / competence / trust,Monroe County; Western NY,Monroe County; Western NY,TV transcript,metronarrativescan.example,English,True
2026-05-23,2026-05-23T01:30:00,Hudson Valley Public Radio,Troy families describe grocery and utility pressure as progress grows,"Hudson Valley Public Radio notes that affordability / cost of living narratives in Capital Region are being repeated across policy newsletter coverage, with Troy residents emphasizing progress.",https://example.com/operational-demo/00625,affordability / cost of living,Troy; Capital Region,Troy; Capital Region,policy newsletter,hudsonvalleypublicradio.example,English,True
